"","Time","X","Y","SM"
"4909",11,1160,940,37.6
"4910",11,1160,930,48.4
"4911",11,1160,920,39.9
"4912",11,1160,910,36.8
"4913",11,1160,900,35.3
"4914",11,1160,890,31.3
"4915",11,1160,880,29.5
"4916",11,1160,870,32.9
"4917",11,1160,860,29.3
"4918",11,1160,850,27.5
"4919",11,1160,840,31.2
"4920",11,1160,830,32.3
"4921",11,1180,890,33
"4922",11,1180,900,36.4
"4923",11,1180,910,36.8
"4924",11,1180,920,47.9
"4925",11,1180,930,47.3
"4926",11,1180,940,40.9
"4927",11,1180,950,39.3
"4928",11,1180,960,42
"4929",11,1180,970,39.8
"4930",11,1180,980,38.9
"4931",11,1180,990,37.8
"4932",11,1180,1000,38.9
"4933",11,1180,1010,36.3
"4934",11,1200,1010,36.3
"4935",11,1200,1000,36.2
"4936",11,1200,990,37.3
"4937",11,1200,980,39.5
"4938",11,1200,970,41.7
"4939",11,1200,960,38.5
"4940",11,1200,950,38.6
"4941",11,1200,940,38.3
"4942",11,1200,930,46.3
"4943",11,1220,970,37.8
"4944",11,1220,980,45.2
"4945",11,1220,990,38.7
"4946",11,1220,1000,37.3
"4947",11,1220,1010,36
"4948",11,1180,830,30.3
"4949",11,1180,840,32.1
"4950",11,1180,850,31.1
"4951",11,1180,860,36.6
"4952",11,1180,870,32.4
"4953",11,1180,880,31.1
"4954",11,1200,920,48.5
"4955",11,1200,910,39.4
"4956",11,1200,900,36.8
"4957",11,1200,890,32.1
"4958",11,1200,880,29.4
"4959",11,1200,870,27.4
"4960",11,1200,860,26.4
"4961",11,1200,850,30.3
"4962",11,1200,840,33.4
"4963",11,1200,830,29.5
"4964",11,1220,830,25.1
"4965",11,1220,840,21.7
"4966",11,1220,850,25.1
"4967",11,1220,860,30.3
"4968",11,1220,870,29.5
"4969",11,1220,880,29.6
"4970",11,1220,890,31.3
"4971",11,1220,900,34.1
"4972",11,1220,910,38.6
"4973",11,1220,920,43.5
"4974",11,1220,930,47.8
"4975",11,1220,940,38.6
"4976",11,1220,950,41.3
"4977",11,1220,960,45.9
"4978",11,1240,1020,29.5
"4979",11,1240,1010,36.3
"4980",11,1240,1000,38.6
"4981",11,1240,990,39.3
"4982",11,1240,980,39.4
"4983",11,1240,970,38.6
"4984",11,1240,960,41.3
"4985",11,1240,950,47.4
"4986",11,1240,940,46.8
"4987",11,1240,930,41.7
"4988",11,1240,920,43
"4989",11,1240,910,39.7
"4990",11,1240,900,35.7
"4991",11,1240,890,35.3
"4992",11,1240,880,33
"4993",11,1240,870,32.7
"4994",11,1240,860,32.2
"4995",11,1240,850,33.6
"4996",11,1240,840,32.8
"4997",11,1260,840,34.1
"4998",11,1260,850,28.6
"4999",11,1260,860,29.7
"5000",11,1260,870,29.8
"5001",11,1260,880,28.6
"5002",11,1260,890,32.5
"5003",11,1260,900,33.4
"5004",11,1260,910,37.3
"5005",11,1260,920,40.4
"5006",11,1260,930,47.1
"5007",11,1260,940,39.5
"5008",11,1260,950,37.9
"5009",11,1260,960,38.5
"5010",11,1260,970,45.1
"5011",11,1260,980,42
"5012",11,1260,990,39.7
"5013",11,1260,1000,37.7
"5014",11,1260,1010,37.7
"5015",11,1260,1020,37.3
"5016",11,1280,1020,37.7
"5017",11,1280,1010,34.2
"5018",11,1280,1000,40.4
"5019",11,1280,990,39.9
"5020",11,1280,980,40.4
"5021",11,1280,970,38.2
"5022",11,1280,960,41.4
"5023",11,1280,950,37.4
"5024",11,1280,940,39.8
"5025",11,1280,930,39.6
"5026",11,1280,920,41.2
"5027",11,1280,910,35.9
"5028",11,1280,900,32
"5029",11,1280,890,31.7
"5030",11,1280,880,28.7
"5031",11,1280,870,30.8
"5032",11,1280,860,30.9
"5033",11,1280,850,28.6
"5034",11,1280,840,29.5
"5035",11,1300,840,33.1
"5036",11,1300,850,31.7
"5037",11,1300,860,32.8
"5038",11,1300,870,32.7
"5039",11,1300,880,31.2
"5040",11,1300,890,33.1
"5041",11,1300,900,34.9
"5042",11,1300,910,35.6
"5043",11,1300,920,35.3
"5044",11,1300,930,38.6
"5045",11,1300,940,38.3
"5046",11,1300,950,39.5
"5047",11,1300,960,39.6
"5048",11,1300,970,38.4
"5049",11,1300,980,37.7
"5050",11,1300,990,35.1
"5051",11,1300,1000,34.8
"5052",11,1300,1010,31.9
"5053",11,1320,1010,35.3
"5054",11,1320,1000,33.6
"5055",11,1320,990,33.9
"5056",11,1320,980,37.5
"5057",11,1320,970,30.6
"5058",11,1320,960,39.1
"5059",11,1320,950,35.9
"5060",11,1320,940,37.5
"5061",11,1320,930,37.2
"5062",11,1320,920,39.9
"5063",11,1320,910,37.9
"5064",11,1320,900,30.6
"5065",11,1320,890,35
"5066",11,1320,880,32.8
"5067",11,1320,870,32.6
"5068",11,1320,860,33.9
"5069",11,1320,850,33.6
